date,company_id,factory_id,production_units,energy_kwh,energy_cost_thb,carbon_kgco2e,energy_intensity_kwh_per_unit,target_energy_kwh,target_energy_intensity,target_carbon_kgco2e
2024-05-23,C001,F001,3900,151.8,8095,33.7,0.039,170.0,0.045,38.0
2024-05-24,C001,F001,4100,158.7,8320,35.2,0.039,170.0,0.045,38.0
2024-05-25,C001,F001,4050,162.4,8588,36.1,0.040,170.0,0.045,38.0
2024-05-26,C001,F001,3980,166.2,8745,36.9,0.042,170.0,0.045,38.0
2024-05-27,C001,F001,4200,164.1,8745,36.4,0.039,170.0,0.045,38.0
2024-05-28,C001,F001,4150,168.8,8946,37.5,0.041,170.0,0.045,38.0
2024-05-29,C001,F001,4300,160.5,8560,35.6,0.037,170.0,0.045,38.0
2024-05-27,C002,F003,5200,212.4,11250,47.2,0.041,225.0,0.046,50.0
2024-05-28,C002,F003,5350,219.8,11660,48.9,0.041,225.0,0.046,50.0
2024-05-29,C002,F003,5480,216.3,11480,48.1,0.039,225.0,0.046,50.0
2024-05-27,C003,F004,3100,132.8,7100,29.5,0.043,145.0,0.047,32.0
2024-05-28,C003,F004,3240,138.6,7380,30.8,0.043,145.0,0.047,32.0
2024-05-29,C003,F004,3300,136.2,7240,30.3,0.041,145.0,0.047,32.0
