datetime,company_id,factory_id,energy_kwh,forecast_kwh
2024-05-29 00:00:00,C001,F001,96,100
2024-05-29 01:00:00,C001,F001,108,105
2024-05-29 02:00:00,C001,F001,101,110
2024-05-29 03:00:00,C001,F001,132,130
2024-05-29 04:00:00,C001,F001,190,180
2024-05-29 05:00:00,C001,F001,238,220
2024-05-29 06:00:00,C001,F001,260,255
2024-05-29 07:00:00,C001,F001,245,280
2024-05-29 08:00:00,C001,F001,355,340
2024-05-29 09:00:00,C001,F001,405,380
2024-05-29 10:00:00,C001,F001,422,410
2024-05-29 11:00:00,C001,F001,318,360
2024-05-29 12:00:00,C001,F001,335,340
2024-05-29 13:00:00,C001,F001,350,360
2024-05-29 14:00:00,C001,F001,370,372
2024-05-29 15:00:00,C001,F001,385,382
2024-05-29 16:00:00,C001,F001,392,390
2024-05-29 17:00:00,C001,F001,378,384
2024-05-29 18:00:00,C001,F001,342,350
2024-05-29 19:00:00,C001,F001,302,300
2024-05-29 20:00:00,C001,F001,244,245
2024-05-29 21:00:00,C001,F001,185,190
2024-05-29 22:00:00,C001,F001,132,140
2024-05-29 23:00:00,C001,F001,118,120
2024-05-29 08:00:00,C002,F003,430,420
2024-05-29 09:00:00,C002,F003,455,440
2024-05-29 10:00:00,C002,F003,468,460
2024-05-29 11:00:00,C002,F003,446,455
2024-05-29 08:00:00,C003,F004,280,275
2024-05-29 09:00:00,C003,F004,292,285
2024-05-29 10:00:00,C003,F004,301,300
2024-05-29 11:00:00,C003,F004,287,295
